id,id_,city,birthday,is_working,education,is_married,works_by_profession,has_children,work_places_cnt
35e8a1938b9a33d5e45c8f4451c4309a,1325,Пограничный,1986-05-18,True,2,False,False,False,8
6c3e52be632fc50de9640147e4017dcd,7503,Москва,1984-02-01,True,3,False,True,True,5
2033122d7c9b24b36eebc468d5259642,8972,Кандалакша,1985-06-06,True,3,False,True,True,4
a6ae278c0eab719b3784e5ea147c128f,9235,Москва,1988-01-13,False,2,False,True,False,0
51b25c9afd20d178ef3c07276df38e2d,9588,Великий Новгород,1990-04-21,True,2,False,False,True,8
e24062de06d301937b3b3a8e383e3e21,10792,Москва,1981-11-12,True,3,False,False,True,4
0b133aa19e40b88587182f23a606cc73,11058,Алматы,1990-05-18,True,2,True,True,False,7
35a36d90b745992b59085c8d54a072e7,11070,Красноярск,1982-10-29,True,2,False,True,False,2
37e8e8179295ae764524223086b0b568,11756,Москва,1988-05-16,True,2,False,False,False,5
49b34a63b37c4e08aee637570106b424,12074,Магнитогорск,1985-09-19,True,3,False,False,True,8
5418d515a6bedea3e0edfd08f7ea111c,12506,Москва,1986-05-03,True,2,False,False,True,8
fb10649db552c5f451bea45ed754d428,13568,Санкт-Петербург,1994-01-11,True,2,True,False,True,6
ac72a06b56daf2b6cd6484937ecdcd3e,13878,Санкт-Петербург,1986-08-14,True,2,True,True,False,5
5f7d6d2c46765995cf8243af5c53396f,14584,Новосибирск,1990-10-01,True,2,False,False,True,4
022c08e714e713511a7d7531d0292dce,14670,Харьков ,1985-09-12,True,3,False,True,True,8
d15a188c90bb4d83957ac14de78fada4,15112,Санкт-Петербург,1986-08-17,True,3,True,False,True,4
3b517d90844faab7047a0d0716f81e2a,15775,Москва,1991-01-30,False,3,False,True,False,0
b1e20086cebb2110ee57d2b1e6e995ed,15971,Москва,1990-12-31,True,3,False,False,True,3
7a352857977d2a5bb34532ba423042af,16408,Барнаул,1991-10-07,True,2,True,False,False,6
7ec05ebad07dfb43300774fd1bbdbc32,28864,Алматы (Казахстан),1990-02-24,True,3,False,True,False,1
a59b13ce713813676ef3815673929254,17245,Энгельс,1982-04-20,True,3,False,True,False,3
a6c16c5387fd3ddf51f1385aeabf23f2,17568,Москва,1988-10-27,True,3,False,True,True,5
4c71f4ecd13eb5e47cfbc55b92a5415b,17761,Москва,1984-04-17,False,2,False,False,False,0
38943c00e0837674a399a971f05f7940,17828,Москва,1989-01-09,True,2,False,False,False,4
7770e94953201b5d03ddc7ec6425da42,19226,Москва,1988-12-19,True,3,True,True,False,9
c93528929510b61226b5000cf7860591,19372,Москва,1990-06-19,True,2,False,True,False,5
8627cb5274980048acb512ba5ce5462a,19618,Сургут,1989-02-28,True,3,False,False,False,6
7877cb9d17aba5822a85186ddb32b336,19673,Барнаул,1988-09-15,False,1,False,False,False,0
b8a66dda64f1fdbd770f3238261e2d53,19691,Tel-Aviv,1991-02-17,True,3,False,True,True,6
2c564a176f6cfed3cfb6530f7b5c4b84,19761,Люберцы,1985-08-11,True,2,False,False,True,5
